NONCODE-ID	RNA-Length	UNIPROT-ID	Protein-Lenght	Organisms
n263981	1754	Q05C33	813	Mus musculus
n264009	1843	Q05C33	813	Mus musculus
n264034	1723	Q05C33	813	Mus musculus
n264043	1220	Q05C33	813	Mus musculus
n264048	1290	Q4VA08	578	Mus musculus
n264053	2048	Q05C33	813	Mus musculus
n264053	2048	Q4VA08	578	Mus musculus
n264065	1880	Q8VE97	987	Mus musculus
n264146	2847	Q4VA08	578	Mus musculus
n264173	1582	Q05C33	813	Mus musculus
n264173	1582	Q4VA08	578	Mus musculus
n264264	3992	Q05C33	813	Mus musculus
n264314	2209	Q4VA08	578	Mus musculus
n264321	2161	O54864	471	Mus musculus
n264321	2161	Q7TPM0	685	Mus musculus
n264321	2161	Q80U70	1099	Mus musculus
n264321	2161	Q80Y84	737	Mus musculus
n264321	2161	Q9CQJ4	220	Mus musculus
n264344	3675	Q05C33	813	Mus musculus
n264346	1501	Q05C33	813	Mus musculus
n264410	956	Q4VA08	578	Mus musculus
n264431	1095	Q05C33	813	Mus musculus
n264435	2099	Q05C33	813	Mus musculus
n264461	3087	Q61188	732	Mus musculus
n264493	1341	Q4VA08	578	Mus musculus
n264581	1434	P84104	160	Mus musculus
n264602	1199	Q4VA08	578	Mus musculus
n264673	1297	Q05C33	813	Mus musculus
n264709	1399	Q05C33	813	Mus musculus
n264747	1772	I6L9I7	998	Mus musculus
n264747	1772	O09106	534	Mus musculus
n264747	1772	O54864	471	Mus musculus
n264747	1772	O88974	349	Mus musculus
n264747	1772	Q7TPM0	685	Mus musculus
n264765	2500	Q05C33	813	Mus musculus
n264766	2335	Q4VA08	578	Mus musculus
n264800	3275	Q05C33	813	Mus musculus
n264882	1623	Q05C33	813	Mus musculus
n264998	3889	Q4VA08	578	Mus musculus
n265007	2890	P84104	160	Mus musculus
n265080	3921	Q05C33	813	Mus musculus
n265122	3524	Q05C33	813	Mus musculus
n265125	2628	Q4VA08	578	Mus musculus
n265145	3264	Q05C33	813	Mus musculus
n265149	1424	Q8CJG0	509	Mus musculus
n265216	2924	Q4VA08	578	Mus musculus
n265226	1674	Q4VA08	578	Mus musculus
n265257	1653	Q05C33	813	Mus musculus
n265303	1405	P84104	160	Mus musculus
n265303	1405	Q8CJG0	509	Mus musculus
n265319	2132	Q4VA08	578	Mus musculus
n265327	3616	Q4VA08	578	Mus musculus
n265334	2699	Q4VA08	578	Mus musculus
n265359	2926	Q4VA08	578	Mus musculus
n265362	2637	Q05C33	813	Mus musculus
n265419	2968	Q4VA08	578	Mus musculus
n265420	2287	Q05C33	813	Mus musculus
n265443	1041	Q05C33	813	Mus musculus
n265471	3155	Q05C33	813	Mus musculus
n265473	2043	Q05C33	813	Mus musculus
n265511	3412	Q4VA08	578	Mus musculus
n265556	3727	Q05C33	813	Mus musculus
n265588	3334	Q05C33	813	Mus musculus
n265588	3334	Q4VA08	578	Mus musculus
n265594	3828	Q4VA08	578	Mus musculus
n265606	3288	Q05C33	813	Mus musculus
n265640	3793	Q05C33	813	Mus musculus
n265651	3168	Q4VA08	578	Mus musculus
n265707	2868	Q4VA08	578	Mus musculus
n265823	1642	Q05C33	813	Mus musculus
n265840	3015	Q05C33	813	Mus musculus
n265872	2544	Q05C33	813	Mus musculus
n265891	2621	Q4VA08	578	Mus musculus
n265930	2200	Q05C33	813	Mus musculus
n265934	1699	Q4VA08	578	Mus musculus
n265940	3879	Q05C33	813	Mus musculus
n265983	3204	Q05C33	813	Mus musculus
n265990	1686	Q8CJG0	509	Mus musculus
n266012	1310	Q4VA08	578	Mus musculus
n266107	3016	Q05C33	813	Mus musculus
n266114	1472	Q05C33	813	Mus musculus
n266114	1472	Q4VA08	578	Mus musculus
n266151	3365	Q05C33	813	Mus musculus
n266174	3950	Q4VA08	578	Mus musculus
n266185	3768	Q05C33	813	Mus musculus
n266284	3434	Q05C33	813	Mus musculus
n266284	3434	Q4VA08	578	Mus musculus
n266285	3693	Q4VA08	578	Mus musculus
n266286	3992	P84104	160	Mus musculus
n266302	2453	Q05C33	813	Mus musculus
n266319	1706	Q05C33	813	Mus musculus
n266341	2591	Q4VA08	578	Mus musculus
n266375	2341	Q05C33	813	Mus musculus
n266402	2602	Q4VA08	578	Mus musculus
n266439	2689	Q4VA08	578	Mus musculus
n266444	2226	Q05C33	813	Mus musculus
n266445	2029	Q4VA08	578	Mus musculus
n266462	1852	Q4VA08	578	Mus musculus
n266483	1518	Q05C33	813	Mus musculus
n266489	3912	Q4VA08	578	Mus musculus
n266495	3044	Q05C33	813	Mus musculus
n266500	2388	Q4VA08	578	Mus musculus
n266549	3079	Q05C33	813	Mus musculus
n266549	3079	Q4VA08	578	Mus musculus
n266565	2765	Q05C33	813	Mus musculus
n266618	2163	Q05C33	813	Mus musculus
n266628	2253	Q05C33	813	Mus musculus
n266643	3802	Q05C33	813	Mus musculus
n266643	3802	Q4VA08	578	Mus musculus
n266677	3491	Q05C33	813	Mus musculus
n266677	3491	Q4VA08	578	Mus musculus
n266697	3375	Q4VA08	578	Mus musculus
n266717	2856	Q4VA08	578	Mus musculus
n266732	1253	Q4VA08	578	Mus musculus
n266733	3424	Q05C33	813	Mus musculus
n266784	3981	Q4VA08	578	Mus musculus
n266814	2144	Q05C33	813	Mus musculus
n266832	1902	Q05C33	813	Mus musculus
n266839	2239	Q4VA08	578	Mus musculus
n266850	3677	Q4VA08	578	Mus musculus
n266856	2891	Q05C33	813	Mus musculus
n266893	2604	Q4VA08	578	Mus musculus
n266910	3336	Q4VA08	578	Mus musculus
n266910	3336	Q8CJG0	509	Mus musculus
n266957	2715	O54864	471	Mus musculus
n266957	2715	Q00899	820	Mus musculus
n266957	2715	Q80Y84	737	Mus musculus
n266959	2696	Q4VA08	578	Mus musculus
n266993	2921	Q05C33	813	Mus musculus
n266997	2901	Q05C33	813	Mus musculus
n267040	3003	Q4VA08	578	Mus musculus
n267057	3809	Q05C33	813	Mus musculus
n267062	3059	Q05C33	813	Mus musculus
n267072	3544	Q05C33	813	Mus musculus
n267077	3536	Q05C33	813	Mus musculus
n267084	2936	Q05C33	813	Mus musculus
n267106	1383	Q05C33	813	Mus musculus
n267107	3063	Q05C33	813	Mus musculus
n267116	3553	Q05C33	813	Mus musculus
n267116	3553	Q4VA08	578	Mus musculus
n267127	3087	Q05C33	813	Mus musculus
n267141	2929	P84104	160	Mus musculus
n267180	1852	Q05C33	813	Mus musculus
n267210	3022	Q05C33	813	Mus musculus
n267210	3022	Q4VA08	578	Mus musculus
n267278	1866	Q61188	732	Mus musculus
n267287	1305	Q4VA08	578	Mus musculus
n267289	1761	Q4VA08	578	Mus musculus
n267302	1454	Q05C33	813	Mus musculus
n267330	3483	Q05C33	813	Mus musculus
n267330	3483	Q4VA08	578	Mus musculus
n267336	2021	Q05C33	813	Mus musculus
n267357	1154	P84104	160	Mus musculus
n267357	1154	Q8VE97	987	Mus musculus
n267371	1385	Q05C33	813	Mus musculus
n267386	3168	P84104	160	Mus musculus
n267386	3168	Q4VA08	578	Mus musculus
n267394	2739	Q05C33	813	Mus musculus
n267405	303	Q8CJG0	509	Mus musculus
n267420	1606	Q05C33	813	Mus musculus
n267422	3436	Q05C33	813	Mus musculus
n267458	2321	Q05C33	813	Mus musculus
n267478	3915	Q4VA08	578	Mus musculus
n267514	3105	Q05C33	813	Mus musculus
n267527	3111	Q4VA08	578	Mus musculus
n267537	1873	Q05C33	813	Mus musculus
n267543	2147	Q05C33	813	Mus musculus
n267564	3380	Q05C33	813	Mus musculus
n267573	2311	Q4VA08	578	Mus musculus
n267574	1587	Q05C33	813	Mus musculus
n267574	1587	Q4VA08	578	Mus musculus
n267585	3471	Q4VA08	578	Mus musculus
n267611	3779	Q05C33	813	Mus musculus
n267643	609	Q05C33	813	Mus musculus
n267649	1843	Q05C33	813	Mus musculus
n267649	1843	Q4VA08	578	Mus musculus
n267662	2403	Q4VA08	578	Mus musculus
n267686	3087	Q05C33	813	Mus musculus
n267689	2928	Q4VA08	578	Mus musculus
n267712	1320	Q05C33	813	Mus musculus
n267727	2594	Q05C33	813	Mus musculus
n267729	2729	Q4VA08	578	Mus musculus
n267743	2421	Q05C33	813	Mus musculus
n267792	1133	Q4VA08	578	Mus musculus
n267800	3589	Q05C33	813	Mus musculus
n267810	3790	Q05C33	813	Mus musculus
n267817	1933	Q05C33	813	Mus musculus
n267823	3577	Q05C33	813	Mus musculus
n267824	2969	Q05C33	813	Mus musculus
n267878	3025	Q05C33	813	Mus musculus
n267909	1915	Q05C33	813	Mus musculus
n267929	2172	Q4VA08	578	Mus musculus
n267941	2340	Q05C33	813	Mus musculus
n267941	2340	Q4VA08	578	Mus musculus
n267983	2066	Q05C33	813	Mus musculus
n267990	3027	Q4VA08	578	Mus musculus
n267991	3683	Q05C33	813	Mus musculus
n268040	3334	Q05C33	813	Mus musculus
n268062	3810	P41230	451	Mus musculus
n268062	3810	Q2YDW7	639	Mus musculus
n268062	3810	Q7TPM0	685	Mus musculus
n268062	3810	Q8CHK4	495	Mus musculus
n268063	3432	Q05C33	813	Mus musculus
n268070	916	Q05C33	813	Mus musculus
n268098	885	Q4VA08	578	Mus musculus
n268102	2783	Q05C33	813	Mus musculus
n268103	3736	I6L9I7	998	Mus musculus
n268103	3736	O54864	471	Mus musculus
n268103	3736	O88974	349	Mus musculus
n268103	3736	Q2YDW7	639	Mus musculus
n268103	3736	Q7TPM0	685	Mus musculus
n268110	2966	Q05C33	813	Mus musculus
n268154	3680	Q05C33	813	Mus musculus
n268158	3676	Q4VA08	578	Mus musculus
n268168	3952	Q4VA08	578	Mus musculus
n268178	3005	Q05C33	813	Mus musculus
n268206	1105	Q4VA08	578	Mus musculus
n268252	1988	Q4VA08	578	Mus musculus
n268260	3868	Q4VA08	578	Mus musculus
n268281	3401	Q4VA08	578	Mus musculus
n268286	3030	Q05C33	813	Mus musculus
n268292	3077	Q05C33	813	Mus musculus
n268318	2691	Q05C33	813	Mus musculus
n268336	2968	Q4VA08	578	Mus musculus
n268344	3931	Q05C33	813	Mus musculus
n268351	1770	Q05C33	813	Mus musculus
n268366	2231	P84104	160	Mus musculus
n268386	2148	Q05C33	813	Mus musculus
n268393	1779	Q05C33	813	Mus musculus
n268410	3843	Q05C33	813	Mus musculus
n268421	3383	Q05C33	813	Mus musculus
n268433	3651	Q4VA08	578	Mus musculus
n268434	935	Q61188	732	Mus musculus
n268450	2745	Q05C33	813	Mus musculus
n268463	2001	Q4VA08	578	Mus musculus
n268527	829	Q05C33	813	Mus musculus
n268548	3682	Q4VA08	578	Mus musculus
n268566	2381	P61965	329	Mus musculus
n268566	2381	P97474	271	Mus musculus
n268566	2381	Q61080	593	Mus musculus
n268566	2381	Q61188	732	Mus musculus
n268566	2381	Q80U70	1099	Mus musculus
n268600	1487	Q05C33	813	Mus musculus
n268600	1487	Q4VA08	578	Mus musculus
n268622	1551	Q05C33	813	Mus musculus
n268627	2876	Q05C33	813	Mus musculus
n268628	2904	Q05C33	813	Mus musculus
n268648	3123	Q05C33	813	Mus musculus
n268650	1380	Q4VA08	578	Mus musculus
n268670	3393	Q05C33	813	Mus musculus
n268680	1296	Q4VA08	578	Mus musculus
n268743	697	Q05C33	813	Mus musculus
n268781	1780	Q05C33	813	Mus musculus
n268784	1572	Q4VA08	578	Mus musculus
n268793	1049	Q05C33	813	Mus musculus
n268815	1591	Q4VA08	578	Mus musculus
n268826	506	Q4VA08	578	Mus musculus
n268836	2772	Q05C33	813	Mus musculus
n268841	2292	Q4VA08	578	Mus musculus
n268850	3047	Q05C33	813	Mus musculus
n268855	1825	Q05C33	813	Mus musculus
n268866	2471	Q4VA08	578	Mus musculus
n268888	2665	Q05C33	813	Mus musculus
n268947	3330	Q05C33	813	Mus musculus
n268949	3736	Q4VA08	578	Mus musculus
n268950	2062	Q05C33	813	Mus musculus
n268966	756	Q4VA08	578	Mus musculus
n268973	1881	Q05C33	813	Mus musculus
n268984	1846	I6L9I7	998	Mus musculus
n268984	1846	P41230	451	Mus musculus
n268984	1846	Q80U70	1099	Mus musculus
n268984	1846	Q80Y84	737	Mus musculus
n268984	1846	Q9CQJ4	220	Mus musculus
n269034	3941	Q05C33	813	Mus musculus
n269064	1713	Q05C33	813	Mus musculus
n269067	3021	Q05C33	813	Mus musculus
n269085	1546	Q05C33	813	Mus musculus
n269111	1552	Q4VA08	578	Mus musculus
n269140	2151	Q4VA08	578	Mus musculus
n269160	2593	Q05C33	813	Mus musculus
n269201	2945	Q05C33	813	Mus musculus
n269250	1686	Q05C33	813	Mus musculus
n269255	3471	Q05C33	813	Mus musculus
n269255	3471	Q4VA08	578	Mus musculus
n269262	1862	Q05C33	813	Mus musculus
n269288	2711	Q4VA08	578	Mus musculus
n269290	1881	Q05C33	813	Mus musculus
n269312	3205	Q4VA08	578	Mus musculus
n269340	2837	Q05C33	813	Mus musculus
n269349	2607	Q4VA08	578	Mus musculus
n269358	3369	Q05C33	813	Mus musculus
n269358	3369	Q4VA08	578	Mus musculus
n269390	2268	Q4VA08	578	Mus musculus
n269419	1035	Q4VA08	578	Mus musculus
n269421	3178	Q4VA08	578	Mus musculus
n269425	2674	Q4VA08	578	Mus musculus
n269437	3119	Q4VA08	578	Mus musculus
n269440	2914	Q4VA08	578	Mus musculus
n269451	3111	Q4VA08	578	Mus musculus
n269457	1860	Q05C33	813	Mus musculus
n269472	1317	Q05C33	813	Mus musculus
n269515	3231	Q4VA08	578	Mus musculus
n269538	1976	Q05C33	813	Mus musculus
n269555	968	Q05C33	813	Mus musculus
n269565	3178	Q05C33	813	Mus musculus
n269569	2787	Q05C33	813	Mus musculus
n269570	2251	Q05C33	813	Mus musculus
n269581	3760	Q05C33	813	Mus musculus
n269584	3506	Q05C33	813	Mus musculus
n269586	2255	Q4VA08	578	Mus musculus
n269590	3673	Q05C33	813	Mus musculus
n269610	3335	Q4VA08	578	Mus musculus
n269615	1951	Q4VA08	578	Mus musculus
n269625	3148	Q4VA08	578	Mus musculus
n269634	2322	Q4VA08	578	Mus musculus
n269636	3672	Q05C33	813	Mus musculus
n269640	2046	Q05C33	813	Mus musculus
n269655	3678	Q05C33	813	Mus musculus
n269655	3678	Q4VA08	578	Mus musculus
n269668	2955	Q05C33	813	Mus musculus
n269723	1106	Q05C33	813	Mus musculus
n269733	1658	Q4VA08	578	Mus musculus
n269743	889	P84104	160	Mus musculus
n269743	889	Q8CJG0	509	Mus musculus
n269743	889	Q8VE97	987	Mus musculus
n269761	3743	Q05C33	813	Mus musculus
n269762	2312	Q4VA08	578	Mus musculus
n269789	1579	Q4VA08	578	Mus musculus
n269817	1708	Q05C33	813	Mus musculus
n269830	3411	Q4VA08	578	Mus musculus
n269869	2497	Q05C33	813	Mus musculus
n269891	1593	Q05C33	813	Mus musculus
n269901	696	Q8CJG0	509	Mus musculus
n269902	2115	Q4VA08	578	Mus musculus
n269922	2282	Q05C33	813	Mus musculus
n269926	2953	Q4VA08	578	Mus musculus
n269951	1642	Q4VA08	578	Mus musculus
n269999	3375	Q4VA08	578	Mus musculus
n270061	2865	Q05C33	813	Mus musculus
n270185	522	Q05C33	813	Mus musculus
n270185	522	Q4VA08	578	Mus musculus
n270209	2592	Q05C33	813	Mus musculus
n270237	3918	Q05C33	813	Mus musculus
n270333	2369	Q4VA08	578	Mus musculus
n270436	3042	Q4VA08	578	Mus musculus
n270457	2694	Q05C33	813	Mus musculus
n270485	2639	Q05C33	813	Mus musculus
n270487	1439	Q05C33	813	Mus musculus
n270505	3733	O54864	471	Mus musculus
n270505	3733	O88974	349	Mus musculus
n270539	3068	Q4VA08	578	Mus musculus
n270550	3526	Q4VA08	578	Mus musculus
n270567	2532	Q05C33	813	Mus musculus
n270573	3712	Q05C33	813	Mus musculus
n270596	870	Q61188	732	Mus musculus
n270598	1452	Q05C33	813	Mus musculus
n270601	2231	Q4VA08	578	Mus musculus
n270616	2824	Q4VA08	578	Mus musculus
n270627	3537	Q4VA08	578	Mus musculus
n270637	3270	Q4VA08	578	Mus musculus
n270643	2381	Q4VA08	578	Mus musculus
n270653	2670	Q4VA08	578	Mus musculus
n270688	2547	Q05C33	813	Mus musculus
n270690	3389	Q05C33	813	Mus musculus
n270696	2054	Q05C33	813	Mus musculus
n270696	2054	Q4VA08	578	Mus musculus
n270697	3261	Q4VA08	578	Mus musculus
n270712	2923	Q05C33	813	Mus musculus
n270732	3695	Q05C33	813	Mus musculus
n270755	3012	Q4VA08	578	Mus musculus
n270765	2844	Q4VA08	578	Mus musculus
n270795	3774	Q05C33	813	Mus musculus
n270820	2610	Q05C33	813	Mus musculus
n270826	3244	Q05C33	813	Mus musculus
n270830	3026	Q05C33	813	Mus musculus
n270858	1173	I6L9I7	998	Mus musculus
n270858	1173	Q00899	820	Mus musculus
n270858	1173	Q8CHK4	495	Mus musculus
n270887	1469	Q4VA08	578	Mus musculus
n270905	1776	Q05C33	813	Mus musculus
n270913	3248	Q4VA08	578	Mus musculus
n270914	2098	Q4VA08	578	Mus musculus
n270945	2999	Q05C33	813	Mus musculus
n270945	2999	Q4VA08	578	Mus musculus
n270960	2053	Q4VA08	578	Mus musculus
n270965	1289	Q05C33	813	Mus musculus
n270970	1425	Q05C33	813	Mus musculus
n270979	3172	Q4VA08	578	Mus musculus
n270988	3665	Q4VA08	578	Mus musculus
n271011	2836	Q05C33	813	Mus musculus
n271011	2836	Q4VA08	578	Mus musculus
n271049	2146	Q05C33	813	Mus musculus
n271076	3174	Q4VA08	578	Mus musculus
n271077	3156	Q05C33	813	Mus musculus
n271081	2938	Q4VA08	578	Mus musculus
n271091	2795	Q05C33	813	Mus musculus
n271131	1323	Q4VA08	578	Mus musculus
n271140	2744	Q4VA08	578	Mus musculus
n271162	1568	Q05C33	813	Mus musculus
n271192	1656	Q4VA08	578	Mus musculus
n271254	2305	Q05C33	813	Mus musculus
n271260	1618	Q4VA08	578	Mus musculus
n271269	2436	Q05C33	813	Mus musculus
n271270	1639	Q05C33	813	Mus musculus
n271273	3466	Q05C33	813	Mus musculus
n271277	3071	Q05C33	813	Mus musculus
n271283	3162	Q05C33	813	Mus musculus
n271302	2569	Q4VA08	578	Mus musculus
n271316	3026	Q05C33	813	Mus musculus
n271347	1167	Q05C33	813	Mus musculus
n271352	1361	Q05C33	813	Mus musculus
n271364	3599	Q05C33	813	Mus musculus
n271375	1168	Q4VA08	578	Mus musculus
n271388	1456	Q05C33	813	Mus musculus
n271402	2815	Q05C33	813	Mus musculus
n271408	3236	Q05C33	813	Mus musculus
n271449	3634	Q05C33	813	Mus musculus
n271454	501	Q05C33	813	Mus musculus
n271459	3093	Q4VA08	578	Mus musculus
n271462	2584	Q8VE97	987	Mus musculus
n271471	1174	Q4VA08	578	Mus musculus
n271477	2092	Q05C33	813	Mus musculus
n271477	2092	Q4VA08	578	Mus musculus
n271481	2262	Q05C33	813	Mus musculus
n271489	3566	Q05C33	813	Mus musculus
n271495	2752	Q05C33	813	Mus musculus
n271498	2523	Q4VA08	578	Mus musculus
n271506	1700	Q05C33	813	Mus musculus
n271540	1550	Q05C33	813	Mus musculus
n271568	1416	Q05C33	813	Mus musculus
n271569	2183	Q05C33	813	Mus musculus
n271601	1836	Q05C33	813	Mus musculus
n271624	1839	Q05C33	813	Mus musculus
n271637	2266	Q4VA08	578	Mus musculus
n271643	2894	Q05C33	813	Mus musculus
n271644	1330	Q05C33	813	Mus musculus
n271659	1096	Q4VA08	578	Mus musculus
n271671	869	Q05C33	813	Mus musculus
n271681	2519	Q05C33	813	Mus musculus
n271683	1774	Q05C33	813	Mus musculus
n271684	2105	Q05C33	813	Mus musculus
n271730	2981	Q4VA08	578	Mus musculus
n271742	1759	Q05C33	813	Mus musculus
n271748	1385	Q05C33	813	Mus musculus
n271769	1478	Q05C33	813	Mus musculus
n271776	3253	Q4VA08	578	Mus musculus
n271812	3916	Q05C33	813	Mus musculus
n271815	2554	Q05C33	813	Mus musculus
n271815	2554	Q4VA08	578	Mus musculus
n271826	2107	Q05C33	813	Mus musculus
n271828	3052	Q05C33	813	Mus musculus
n271843	3024	Q05C33	813	Mus musculus
n271843	3024	Q4VA08	578	Mus musculus
n271858	2436	Q4VA08	578	Mus musculus
n271859	2136	Q4VA08	578	Mus musculus
n271869	2922	Q4VA08	578	Mus musculus
n271880	3152	Q4VA08	578	Mus musculus
n271881	2456	Q05C33	813	Mus musculus
n271888	1686	Q05C33	813	Mus musculus
n271907	3220	Q05C33	813	Mus musculus
n271916	2252	Q05C33	813	Mus musculus
n271918	2182	Q05C33	813	Mus musculus
n271929	2882	Q4VA08	578	Mus musculus
n271944	3556	Q05C33	813	Mus musculus
n271949	3347	Q4VA08	578	Mus musculus
n271961	1050	Q05C33	813	Mus musculus
n271968	3048	Q05C33	813	Mus musculus
n271973	3487	Q05C33	813	Mus musculus
n272000	3050	Q05C33	813	Mus musculus
n272004	3842	Q05C33	813	Mus musculus
n272014	2963	Q05C33	813	Mus musculus
n272014	2963	Q4VA08	578	Mus musculus
n272021	2531	Q4VA08	578	Mus musculus
n272030	2811	Q4VA08	578	Mus musculus
n272072	3193	Q05C33	813	Mus musculus
n272083	2067	Q4VA08	578	Mus musculus
n272087	3479	Q05C33	813	Mus musculus
n272087	3479	Q4VA08	578	Mus musculus
n272095	3594	Q05C33	813	Mus musculus
n272098	2666	Q4VA08	578	Mus musculus
n272107	947	Q4VA08	578	Mus musculus
n272113	2870	Q05C33	813	Mus musculus
n272119	3902	Q05C33	813	Mus musculus
n272119	3902	Q4VA08	578	Mus musculus
n272120	3224	Q4VA08	578	Mus musculus
n272135	2796	Q05C33	813	Mus musculus
n272135	2796	Q4VA08	578	Mus musculus
n272159	2524	Q05C33	813	Mus musculus
n272168	1898	Q05C33	813	Mus musculus
n272173	3394	Q05C33	813	Mus musculus
n272174	2172	Q4VA08	578	Mus musculus
n272178	3735	Q4VA08	578	Mus musculus
n272183	3817	Q05C33	813	Mus musculus
n272206	3084	Q05C33	813	Mus musculus
n272206	3084	Q4VA08	578	Mus musculus
n272208	2949	Q05C33	813	Mus musculus
n272216	1943	Q05C33	813	Mus musculus
n272243	2507	Q4VA08	578	Mus musculus
n272244	3402	Q4VA08	578	Mus musculus
n272261	775	Q05C33	813	Mus musculus
n272268	3466	Q05C33	813	Mus musculus
n272286	3964	Q05C33	813	Mus musculus
n272287	2408	Q05C33	813	Mus musculus
n272379	2315	Q05C33	813	Mus musculus
n272385	2215	Q05C33	813	Mus musculus
n272386	2869	Q05C33	813	Mus musculus
n272392	1879	Q05C33	813	Mus musculus
n272424	2476	Q4VA08	578	Mus musculus
n272428	2366	Q05C33	813	Mus musculus
n272431	2652	Q05C33	813	Mus musculus
n272441	3063	Q4VA08	578	Mus musculus
n272444	3390	Q4VA08	578	Mus musculus
n272445	3805	Q05C33	813	Mus musculus
n272445	3805	Q4VA08	578	Mus musculus
n272502	1671	Q05C33	813	Mus musculus
n272525	3123	Q4VA08	578	Mus musculus
n272533	2285	Q05C33	813	Mus musculus
n272535	1199	O09106	534	Mus musculus
n272535	1199	O88974	349	Mus musculus
