Protein ID	RNA ID
2W2H-A	2W2H-R
2WDG-S	2WDG-A
2WDG-T	2WDG-A
2WDG-N	2WDG-A
2WDH-S	2WDH-A
2WDH-T	2WDH-A
2WDH-N	2WDH-A
2WDI-S	2WDI-A
2WDI-T	2WDI-A
2WDI-N	2WDI-A
2WDJ-S	2WDJ-A
2WDJ-T	2WDJ-A
2WDJ-N	2WDJ-A
2WDK-S	2WDK-A
2WDK-T	2WDK-A
2WDK-N	2WDK-A
2WDL-S	2WDL-A
2WDL-T	2WDL-A
2WDL-N	2WDL-A
2WDM-S	2WDM-A
2WDM-T	2WDM-A
2WDM-N	2WDM-A
2WDN-S	2WDN-A
2WDN-T	2WDN-A
2WDN-N	2WDN-A
2WH1-S	2WH1-A
2WH1-T	2WH1-A
2WH1-N	2WH1-A
2WH2-S	2WH2-A
2WH2-T	2WH2-A
2WH2-N	2WH2-A
2WH3-S	2WH3-A
2WH3-T	2WH3-A
2WH3-N	2WH3-A
2WH4-S	2WH4-A
2WH4-T	2WH4-A
2WH4-N	2WH4-A
2WRI-S	2WRI-A
2WRI-T	2WRI-A
2WRI-N	2WRI-A
2WRJ-S	2WRJ-A
2WRJ-T	2WRJ-A
2WRJ-N	2WRJ-A
2WRK-S	2WRK-A
2WRK-T	2WRK-A
2WRK-N	2WRK-A
2WRL-S	2WRL-A
2WRL-T	2WRL-A
2WRL-N	2WRL-A
2WRN-S	2WRN-A
2WRN-T	2WRN-A
2WRN-N	2WRN-A
2WRO-S	2WRO-A
2WRO-T	2WRO-A
2WRO-N	2WRO-A
2WRQ-S	2WRQ-A
2WRQ-T	2WRQ-A
2WRQ-N	2WRQ-A
2WRR-S	2WRR-A
2WRR-T	2WRR-A
2WRR-N	2WRR-A
2X9R-S	2X9R-A
2X9R-T	2X9R-A
2X9R-N	2X9R-A
2X9S-S	2X9S-A
2X9S-T	2X9S-A
2X9S-N	2X9S-A
2X9T-S	2X9T-A
2X9T-T	2X9T-A
2X9T-N	2X9T-A
2X9U-S	2X9U-A
2X9U-T	2X9U-A
2X9U-N	2X9U-A
2XFZ-S	2XFZ-A
2XFZ-T	2XFZ-A
2XFZ-N	2XFZ-A
2XG0-S	2XG0-A
2XG0-T	2XG0-A
2XG0-N	2XG0-A
2XG1-S	2XG1-A
2XG1-T	2XG1-A
2XG1-N	2XG1-A
2XG2-S	2XG2-A
2XG2-T	2XG2-A
2XG2-N	2XG2-A
2XQD-S	2XQD-A
2XQD-T	2XQD-A
2XQD-N	2XQD-A
2XQE-S	2XQE-A
2XQE-T	2XQE-A
2XQE-N	2XQE-A
2XXA-B	2XXA-G
2XZM-S	2XZM-A
2XZM-T	2XZM-A
2XZM-N	2XZM-A
2XZN-S	2XZN-A
2XZN-T	2XZN-A
2XZN-N	2XZN-A
2Y0U-S	2Y0U-A
2Y0U-T	2Y0U-A
2Y0U-N	2Y0U-A
2Y0V-S	2Y0V-A
2Y0V-T	2Y0V-A
2Y0V-N	2Y0V-A
2Y0W-S	2Y0W-A
2Y0W-T	2Y0W-A
2Y0W-N	2Y0W-A
2Y0X-S	2Y0X-A
2Y0X-T	2Y0X-A
2Y0X-N	2Y0X-A
2Y0Y-S	2Y0Y-A
2Y0Y-T	2Y0Y-A
2Y0Y-N	2Y0Y-A
2Y0Z-S	2Y0Z-A
2Y0Z-T	2Y0Z-A
2Y0Z-N	2Y0Z-A
2Y10-S	2Y10-A
2Y10-T	2Y10-A
2Y10-N	2Y10-A
2Y11-S	2Y11-A
2Y11-T	2Y11-A
2Y11-N	2Y11-A
2Y12-S	2Y12-A
2Y12-T	2Y12-A
2Y12-N	2Y12-A
2Y13-S	2Y13-A
2Y13-T	2Y13-A
2Y13-N	2Y13-A
2Y14-S	2Y14-A
2Y14-T	2Y14-A
2Y14-N	2Y14-A
2Y15-S	2Y15-A
2Y15-T	2Y15-A
2Y15-N	2Y15-A
2Y16-S	2Y16-A
2Y16-T	2Y16-A
2Y16-N	2Y16-A
2Y17-S	2Y17-A
2Y17-T	2Y17-A
2Y17-N	2Y17-A
2Y18-S	2Y18-A
2Y18-T	2Y18-A
2Y18-N	2Y18-A
2Y19-S	2Y19-A
2Y19-T	2Y19-A
2Y19-N	2Y19-A
2Y9A-E	2Y9A-V
2Y9A-B	2Y9A-V
2Y9A-F	2Y9A-V
2Y9B-E	2Y9B-V
2Y9B-B	2Y9B-V
2Y9B-F	2Y9B-V
2Y9C-B	2Y9C-V
2Y9C-F	2Y9C-V
2Y9C-A	2Y9C-V
2Y9D-B	2Y9D-V
2Y9D-F	2Y9D-V
2Y9D-C	2Y9D-V
2Z4K-S	2Z4K-A
2Z4K-T	2Z4K-A
2Z4K-N	2Z4K-A
2Z4L-S	2Z4L-A
2Z4L-T	2Z4L-A
2Z4L-N	2Z4L-A
2Z4M-S	2Z4M-A
2Z4M-T	2Z4M-A
2Z4M-N	2Z4M-A
2Z4N-S	2Z4N-A
2Z4N-T	2Z4N-A
2Z4N-N	2Z4N-A
2ZJP-S	2ZJP-X
2ZJP-N	2ZJP-X
2ZJP-K	2ZJP-X
2ZJQ-S	2ZJQ-X
2ZJQ-N	2ZJQ-X
2ZJQ-K	2ZJQ-X
2ZJR-S	2ZJR-X
2ZJR-N	2ZJR-X
2ZJR-K	2ZJR-X
2ZM6-S	2ZM6-A
2ZM6-T	2ZM6-A
2ZM6-N	2ZM6-A
3A6P-C	3A6P-E
3AL0-B	3AL0-E
3AL0-A	3AL0-E
3AOH-E	3AOH-Q
3AOH-C	3AOH-Q
3AOH-A	3AOH-Q
3AOI-E	3AOI-Q
3AOI-D	3AOI-Q
3AOI-A	3AOI-Q
3CC2-S	3CC2-0
3CC2-T	3CC2-0
3CC2-N	3CC2-0
3CC4-S	3CC4-0
3CC4-T	3CC4-0
3CC4-N	3CC4-0
3CC7-S	3CC7-0
3CC7-T	3CC7-0
3CC7-N	3CC7-0
3CCE-S	3CCE-0
3CCE-T	3CCE-0
3CCE-N	3CCE-0
3CCJ-S	3CCJ-0
3CCJ-T	3CCJ-0
3CCJ-N	3CCJ-0
3CCL-S	3CCL-0
3CCL-T	3CCL-0
3CCL-N	3CCL-0
3CCM-S	3CCM-0
3CCM-T	3CCM-0
3CCM-N	3CCM-0
3CCQ-S	3CCQ-0
3CCQ-T	3CCQ-0
3CCQ-N	3CCQ-0
3CCR-S	3CCR-0
3CCR-T	3CCR-0
3CCR-N	3CCR-0
3CCS-S	3CCS-0
3CCS-T	3CCS-0
3CCS-N	3CCS-0
3CCU-S	3CCU-0
3CCU-T	3CCU-0
3CCU-N	3CCU-0
3CCV-S	3CCV-0
3CCV-T	3CCV-0
3CCV-N	3CCV-0
3CD6-S	3CD6-0
3CD6-T	3CD6-0
3CD6-N	3CD6-0
3CF5-S	3CF5-X
3CF5-N	3CF5-X
3CF5-K	3CF5-X
3CMA-S	3CMA-0
3CMA-T	3CMA-0
3CMA-N	3CMA-0
3CME-S	3CME-0
3CME-T	3CME-0
3CME-N	3CME-0
3CPW-S	3CPW-0
3CPW-T	3CPW-0
3CPW-N	3CPW-0
3CXC-S	3CXC-0
3CXC-T	3CXC-0
3CXC-N	3CXC-0
3D5A-S	3D5A-A
3D5A-T	3D5A-A
3D5A-N	3D5A-A
3D5B-S	3D5B-A
3D5B-T	3D5B-A
3D5B-N	3D5B-A
3D5C-S	3D5C-A
3D5C-T	3D5C-A
3D5C-N	3D5C-A
3D5D-S	3D5D-A
3D5D-T	3D5D-A
3D5D-N	3D5D-A
3DF1-S	3DF1-A
3DF1-T	3DF1-A
3DF1-N	3DF1-A
3DF2-S	3DF2-A
3DF2-T	3DF2-A
3DF2-N	3DF2-A
3DF3-S	3DF3-A
3DF3-T	3DF3-A
3DF3-N	3DF3-A
3DF4-S	3DF4-A
3DF4-T	3DF4-A
3DF4-N	3DF4-A
3DLL-S	3DLL-X
3DLL-T	3DLL-X
3DLL-N	3DLL-X
3F1E-S	3F1E-A
3F1E-T	3F1E-A
3F1E-N	3F1E-A
3F1F-S	3F1F-A
3F1F-T	3F1F-A
3F1F-N	3F1F-A
3F1G-S	3F1G-A
3F1G-T	3F1G-A
3F1G-N	3F1G-A
3F1H-S	3F1H-A
3F1H-T	3F1H-A
3F1H-N	3F1H-A
3G4S-S	3G4S-0
3G4S-T	3G4S-0
3G4S-N	3G4S-0
3G6E-S	3G6E-0
3G6E-T	3G6E-0
3G6E-N	3G6E-0
3G71-S	3G71-0
3G71-T	3G71-0
3G71-N	3G71-0
3GTO-K	3GTO-R
3GTO-E	3GTO-R
3GTO-J	3GTO-R
3GTP-K	3GTP-R
3GTP-E	3GTP-R
3GTP-J	3GTP-R
3H3V-K	3H3V-P
3H3V-E	3H3V-P
3H3V-J	3H3V-P
3HJW-B	3HJW-D
3HJW-C	3HJW-D
3HOU-K	3HOU-3
3HOU-E	3HOU-3
3HOU-J	3HOU-3
3HOV-K	3HOV-P
3HOV-E	3HOV-P
3HOV-J	3HOV-P
3HOW-K	3HOW-3
3HOW-E	3HOW-3
3HOW-J	3HOW-3
3HOX-K	3HOX-P
3HOX-E	3HOX-P
3HOX-J	3HOX-P
3HOY-K	3HOY-P
3HOY-E	3HOY-P
3HOY-J	3HOY-P
3HOZ-K	3HOZ-P
3HOZ-E	3HOZ-P
3HOZ-J	3HOZ-P
3HUW-S	3HUW-A
3HUW-T	3HUW-A
3HUW-N	3HUW-A
3HUX-S	3HUX-A
3HUX-T	3HUX-A
3HUX-N	3HUX-A
3HUY-S	3HUY-A
3HUY-T	3HUY-A
3HUY-N	3HUY-A
3HUZ-S	3HUZ-A
3HUZ-T	3HUZ-A
3HUZ-N	3HUZ-A
3I1M-S	3I1M-A
3I1M-T	3I1M-A
3I1M-N	3I1M-A
3I1N-S	3I1N-A
3I1N-T	3I1N-A
3I1N-N	3I1N-A
3I1O-S	3I1O-A
3I1O-T	3I1O-A
3I1O-N	3I1O-A
3I1P-S	3I1P-A
3I1P-T	3I1P-A
3I1P-N	3I1P-A
3I1Q-S	3I1Q-A
3I1Q-T	3I1Q-A
3I1Q-N	3I1Q-A
3I1R-S	3I1R-A
3I1R-T	3I1R-A
3I1R-N	3I1R-A
3I1S-S	3I1S-A
3I1S-T	3I1S-A
3I1S-N	3I1S-A
3I1T-S	3I1T-A
3I1T-T	3I1T-A
3I1T-N	3I1T-A
3I1Z-S	3I1Z-A
3I1Z-T	3I1Z-A
3I1Z-N	3I1Z-A
3I20-S	3I20-A
3I20-T	3I20-A
3I20-N	3I20-A
3I21-S	3I21-A
3I21-T	3I21-A
3I21-N	3I21-A
3I22-S	3I22-A
3I22-T	3I22-A
3I22-N	3I22-A
3I4M-K	3I4M-P
3I4M-E	3I4M-P
3I4M-J	3I4M-P
3I4N-K	3I4N-P
3I4N-E	3I4N-P
3I4N-J	3I4N-P
3I55-S	3I55-0
3I55-T	3I55-0
3I55-N	3I55-0
3I56-S	3I56-0
3I56-T	3I56-0
3I56-N	3I56-0
3I8F-S	3I8F-A
3I8F-T	3I8F-A
3I8F-N	3I8F-A
3I8G-S	3I8G-A
3I8G-T	3I8G-A
3I8G-N	3I8G-A
3I8H-S	3I8H-A
3I8H-T	3I8H-A
3I8H-K	3I8H-A
3I8I-S	3I8I-A
3I8I-T	3I8I-A
3I8I-N	3I8I-A
3I9B-S	3I9B-A
3I9B-T	3I9B-A
3I9B-K	3I9B-A
3I9C-S	3I9C-A
3I9C-T	3I9C-A
3I9C-N	3I9C-A
3I9D-S	3I9D-A
3I9D-T	3I9D-A
3I9D-K	3I9D-A
3I9E-S	3I9E-A
3I9E-T	3I9E-A
3I9E-N	3I9E-A
3ICQ-B	3ICQ-D
3KFU-E	3KFU-L
3KFU-G	3KFU-L
3KFU-A	3KFU-L
3KIQ-d	3KIQ-a
3KIQ-j	3KIQ-a
3KIQ-y	3KIQ-a
3KIR-S	3KIR-A
3KIR-T	3KIR-A
3KIR-N	3KIR-A
3KIS-d	3KIS-a
3KIS-j	3KIS-a
3KIS-u	3KIS-a
3KIT-S	3KIT-A
3KIT-T	3KIT-A
3KIT-N	3KIT-A
3KIU-j	3KIU-a
3KIU-y	3KIU-a
3KIU-u	3KIU-a
3KIW-S	3KIW-A
3KIW-T	3KIW-A
3KIW-N	3KIW-A
3KIX-j	3KIX-a
3KIX-y	3KIX-a
3KIX-u	3KIX-a
3KIY-S	3KIY-A
3KIY-T	3KIY-A
3KIY-N	3KIY-A
3KNH-S	3KNH-A
3KNH-T	3KNH-A
3KNH-N	3KNH-A
3KNI-S	3KNI-A
3KNI-T	3KNI-A
3KNI-N	3KNI-A
3KNJ-S	3KNJ-A
3KNJ-T	3KNJ-A
3KNJ-N	3KNJ-A
3KNK-S	3KNK-A
3KNK-T	3KNK-A
3KNK-N	3KNK-A
3KNL-S	3KNL-A
3KNL-T	3KNL-A
3KNL-N	3KNL-A
3KNM-S	3KNM-A
3KNM-T	3KNM-A
3KNM-N	3KNM-A
3KNN-S	3KNN-A
3KNN-T	3KNN-A
3KNN-N	3KNN-A
3KNO-S	3KNO-A
3KNO-T	3KNO-A
3KNO-N	3KNO-A
3LWO-B	3LWO-D
3LWO-C	3LWO-D
3LWP-B	3LWP-D
3LWP-C	3LWP-D
3LWQ-B	3LWQ-D
3LWQ-C	3LWQ-D
3LWR-B	3LWR-D
3LWR-C	3LWR-D
3LWV-B	3LWV-D
3LWV-C	3LWV-D
3MR8-S	3MR8-A
3MR8-T	3MR8-A
3MR8-N	3MR8-A
3MRZ-S	3MRZ-A
3MRZ-T	3MRZ-A
3MRZ-N	3MRZ-A
3MS0-S	3MS0-A
3MS0-T	3MS0-A
3MS0-N	3MS0-A
3MS1-S	3MS1-A
3MS1-T	3MS1-A
3MS1-N	3MS1-A
3NMU-F	3NMU-D
3NMU-C	3NMU-D
3NVI-B	3NVI-E
3NVK-I	3NVK-K
3NVK-A	3NVK-K
3O2Z-S	3O2Z-1
3O2Z-T	3O2Z-1
3O2Z-N	3O2Z-1
3O30-S	3O30-1
3O30-T	3O30-1
3O30-N	3O30-1
3O58-S	3O58-1
3O58-T	3O58-1
